"Year","Month","Day","Precipitation","sea_level"
1947,5,23,63.8,2.225
1949,10,4,99.6,2.713
1961,9,10,164.574325084686,3.566
1961,9,11,130.3,3.871
1961,9,12,151.1,3.81
1963,9,17,52.1,2.591
1983,8,17,132.00116876834,2.368
1989,6,26,55.8140103386791,2.408
1993,6,19,50.2156826598821,2.329
1995,10,2,97.5852012634277,2.234
1995,10,3,64,2.31
1997,4,26,69.6,2.307
1998,9,9,92.904842949963,2.361
1998,9,10,114.959454536404,2.94
1998,9,11,194.1,2.64
2001,6,5,85.3,2.419
2001,10,13,52.3,2.396
2002,9,6,101.9,2.535
2004,5,13,54.6,2.215
2005,9,23,123.512948342182,2.476
2006,10,15,83.6698949336991,2.313
2006,10,16,99.3,2.616
2008,9,12,159.511172771374,3.778
2008,9,13,88.6,4.635
2011,10,9,109.5,2.253
2012,3,20,54.4,2.221
2015,9,27,77.1017031420342,2.262
2015,10,24,215.271073579686,2.247
2015,10,25,125.5,2.517
2015,11,1,47.2,2.305
2016,3,9,75.7,2.276
2016,4,17,47.0815490382961,2.398
2016,5,1,49.8152732847075,2.283
2016,5,19,83.8,2.215
2016,6,4,82,2.232
2016,8,29,52.1,2.258
2016,12,3,195.1,2.496
2017,5,22,59.2,2.294
2017,8,25,79.894632101059,2.375
2017,8,26,121.342280507086,2.522
2017,8,27,92.4293598711188,2.443
2017,8,28,106.362692397795,2.455
2017,8,29,219.5,2.571
2018,6,18,108.131656050681,2.217
2018,9,3,147.1,2.238
2018,9,14,57.7,2.214
2018,10,24,124.5,2.437
2019,5,9,82.1026389917847,2.206
2019,6,5,54.4,2.382
2019,9,16,56.6096339908313,2.351
2019,9,17,115.161606669425,2.32
2019,9,18,157.5,2.238
2019,10,14,79.2,2.215
2019,10,20,49.2264628410339,2.322
2019,10,21,61.5,2.419
2019,10,25,64.5,2.438
2020,5,15,55.2509278059006,2.232
2020,9,22,47.8,2.824
2020,10,8,73.1079936027186,2.218
2020,10,9,53.3,2.54
2021,5,18,52.8227925300548,2.345
2021,9,13,98.5490858553817,2.2293
2022,11,25,54.3930771095233,2.298
2023,11,30,99.8,2.3649
