"Year","Month","Day","Precipitation","sea_level"
1946,11,4,132.1,2.189
1947,5,23,63.8,2.225
1949,10,4,99.6,2.713
1957,6,27,25.7,2.957
1958,9,5,65.6647622585282,2.134
1958,9,6,58.4,2.164
1961,9,9,41.1287677221708,2.377
1961,9,10,164.574325084686,3.566
1961,9,11,130.3,3.871
1961,9,12,151.1,3.81
1963,9,17,52.1,2.591
1971,9,9,86.8413527237522,2.164
1971,9,10,51.9876480101971,2.073
1979,7,24,140.011754631985,2.137
1979,9,18,121.068036162114,2.137
1979,9,19,59.3141615390778,2.158
1983,8,17,132.00116876834,2.368
1985,10,27,101.045471307771,2.134
1989,6,23,63.5486190067347,2.073
1989,6,26,55.8140103386791,2.408
1990,3,14,25.2192250839016,2.1
1990,4,26,37.9925251006057,2.103
1991,6,8,26.0521718344506,2.185
1991,6,9,29.5193195343018,2.158
1991,10,29,31.2904417514801,2.082
1993,6,18,52.720615318151,2.082
1993,6,19,50.2156826598821,2.329
1993,6,20,24.3141353130341,2.347
1995,7,30,29.9381911754608,2.307
1995,10,2,97.5852012634277,2.234
1995,10,3,64,2.31
1995,10,30,27.9,2.149
1995,10,31,25.7234807438635,2.21
1996,8,23,47.8,2.111
1996,10,24,73.5045361104021,2.106
1997,4,4,23.6635059118271,2.153
1997,4,11,37.1,2.102
1997,4,25,26.9851812730799,2.237
1997,4,26,69.6,2.307
1997,9,22,39.0074849128723,2.091
1997,9,23,115.8,2.103
1997,10,12,41.1,2.3
1998,8,21,59.7437262535045,2.184
1998,8,22,34.3,2.298
1998,9,7,32.3599045384526,2.268
1998,9,9,92.904842949963,2.361
1998,9,10,114.959454536404,2.94
1998,9,11,194.1,2.64
1998,9,13,25.0608503817489,2.265
1998,9,14,40.1284247636795,2.269
1998,10,5,25.1702798167059,2.253
1999,4,3,23.426622151419,2.084
2000,5,2,42.2055363655076,2.154
2000,11,6,23.1,2.114
2001,3,28,46.2,2.09
2001,6,5,85.3,2.419
2001,10,12,47.0279097557018,2.131
2001,10,13,52.3,2.396
2002,3,1,31.5,2.101
2002,4,8,59.9,2.071
2002,9,4,32.5,2.138
2002,9,5,55.4813866383483,2.177
2002,9,6,101.9,2.535
2002,9,8,23.0395346879959,2.296
2002,9,9,24.4,2.284
2002,10,9,42.7,2.071
2002,11,4,43.5217261713774,2.077
2002,12,12,44.5,2.142
2003,7,14,34.7558474413745,2.326
2003,7,15,45.2,2.903
2003,8,31,32,2.244
2003,9,1,36.1,2.072
2003,9,12,35.8,2.087
2003,9,21,31.8,2.268
2003,10,9,41.1,2.087
2003,11,18,32.5,2.385
2003,12,13,36.8,2.244
2004,5,13,54.6,2.215
2004,11,1,82.4416458605697,2.091
2004,11,2,39.4,2.305
2004,11,16,24.9,2.338
2005,3,2,31,2.147
2005,9,23,123.512948342182,2.476
2006,10,15,83.6698949336991,2.313
2006,10,16,99.3,2.616
2007,1,21,29,2.092
2007,8,16,52.6,2.105
2007,9,12,115.1,2.103
2007,10,6,33.8,2.107
2007,11,24,35.9784901142071,2.262
2008,9,12,159.511172771374,3.778
2008,9,13,88.6,4.635
2008,10,16,29.0966033935547,2.182
2008,11,11,33.9009640155155,2.143
2009,4,18,31.7560613154342,2.346
2009,9,11,35.1,2.077
2009,10,3,34.3,2.072
2009,10,21,30.8037898676048,2.169
2009,10,22,27.4,2.358
2009,10,26,31.2,2.126
2009,10,29,85.9959055241006,2.152
2009,10,30,29.5,2.161
2009,11,20,66.8835788965794,2.164
2009,12,1,32.8,2.295
